AWS Service,Resource,Alert Name,Metric,Severity,Threshold,Evaluation Interval,Pending Duration,Dimensions,Deployment Action,Validation Status,Notes
ALB,alb-internal,alerts-alb-5xx-warning-alb-internal,HTTPCode_Target_5XX_Count,warning,gt 10.0,5m,3m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-5xx-warning-alb-public,HTTPCode_Target_5XX_Count,warning,gt 10.0,5m,3m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
ALB,alb-internal,alerts-alb-5xx-critical-alb-internal,HTTPCode_Target_5XX_Count,critical,gt 50.0,5m,2m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-5xx-critical-alb-public,HTTPCode_Target_5XX_Count,critical,gt 50.0,5m,2m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
ALB,alb-internal,alerts-alb-latency-p99-warning-alb-internal,TargetResponseTime,warning,gt 3.0,5m,3m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-latency-p99-warning-alb-public,TargetResponseTime,warning,gt 3.0,5m,3m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
ALB,alb-internal,alerts-alb-latency-p99-critical-alb-internal,TargetResponseTime,critical,gt 5.0,5m,2m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-latency-p99-critical-alb-public,TargetResponseTime,critical,gt 5.0,5m,2m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
ALB,alb-internal,alerts-alb-unhealthy-warning-alb-internal,UnHealthyHostCount,warning,gt 0.5,5m,3m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-unhealthy-warning-alb-public,UnHealthyHostCount,warning,gt 0.5,5m,3m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
ALB,alb-internal,alerts-alb-unhealthy-critical-alb-internal,UnHealthyHostCount,critical,gt 1.5,1m,2m,LoadBalancer=app/alb-internal/0000000000000001,create,passed,
ALB,alb-public,alerts-alb-unhealthy-critical-alb-public,UnHealthyHostCount,critical,gt 1.5,1m,2m,LoadBalancer=app/alb-public/0000000000000002,create,passed,
NLB,nlb-infra,alerts-nlb-unhealthy-warning-nlb-infra,UnHealthyHostCount,warning,gt 0.5,5m,3m,LoadBalancer=net/nlb-infra/0000000000000000,create,passed,
NLB,nlb-infra,alerts-nlb-unhealthy-critical-nlb-infra,UnHealthyHostCount,critical,gt 1.5,1m,2m,LoadBalancer=net/nlb-infra/0000000000000000,create,passed,
ECS,infra-monitoring,alerts-ecs-cpu-warning-infra-infra-monitoring,CPUUtilization,warning,gt 70.0,5m,3m,ClusterName=infra;ServiceName=infra-monitoring,create,passed,
ECS,infra-monitoring,alerts-ecs-cpu-critical-infra-infra-monitoring,CPUUtilization,critical,gt 85.0,5m,2m,ClusterName=infra;ServiceName=infra-monitoring,create,passed,
ECS,infra-monitoring,alerts-ecs-memory-warning-infra-infra-monitoring,MemoryUtilization,warning,gt 70.0,5m,3m,ClusterName=infra;ServiceName=infra-monitoring,create,passed,
ECS,infra-monitoring,alerts-ecs-memory-critical-infra-infra-monitoring,MemoryUtilization,critical,gt 85.0,5m,2m,ClusterName=infra;ServiceName=infra-monitoring,create,passed,
ECS,alpha-api,alerts-ecs-cpu-warning-batch3-app-alpha-alpha-api,CPUUtilization,warning,gt 70.0,5m,3m,ClusterName=app-alpha;ServiceName=alpha-api,create,passed,
ECS,alpha-worker,alerts-ecs-cpu-warning-batch3-app-alpha-alpha-worker,CPUUtilization,warning,gt 70.0,5m,3m,ClusterName=app-alpha;ServiceName=alpha-worker,create,passed,
ECS,beta-api,alerts-ecs-cpu-warning-batch3-app-beta-beta-api,CPUUtilization,warning,gt 70.0,5m,3m,ClusterName=app-beta;ServiceName=beta-api,create,passed,
ECS,beta-worker,alerts-ecs-cpu-warning-batch3-app-beta-beta-worker,CPUUtilization,warning,gt 70.0,5m,3m,ClusterName=app-beta;ServiceName=beta-worker,create,passed,
ECS,alpha-api,alerts-ecs-cpu-critical-batch3-app-alpha-alpha-api,CPUUtilization,critical,gt 85.0,5m,2m,ClusterName=app-alpha;ServiceName=alpha-api,create,passed,
ECS,alpha-worker,alerts-ecs-cpu-critical-batch3-app-alpha-alpha-worker,CPUUtilization,critical,gt 85.0,5m,2m,ClusterName=app-alpha;ServiceName=alpha-worker,create,passed,
